team,gameweek,week_start,avg_score,avg_score_pct,n_articles,n_relevant
Galatasaray,2025-W39,2025-09-22,0.0,0.0,1,1
Galatasaray,2025-W40,2025-09-29,0.0,0.0,4,0
Galatasaray,2025-W42,2025-10-13,0.0,0.0,4,0
Galatasaray,2025-W43,2025-10-20,0.0,0.0,2,0
Galatasaray,2025-W44,2025-10-27,1.0,25.0,4,1
Galatasaray,2025-W45,2025-11-03,1.667,41.7,6,3
Galatasaray,2025-W46,2025-11-10,1.333,33.3,3,1
Galatasaray,2025-W47,2025-11-17,0.0,0.0,2,0
Galatasaray,2025-W48,2025-11-24,0.0,0.0,2,0
Galatasaray,2025-W49,2025-12-01,1.5,37.5,2,1
Galatasaray,2025-W50,2025-12-08,0.0,0.0,3,0
Galatasaray,2025-W51,2025-12-15,0.333,8.3,3,1
Galatasaray,2025-W52,2025-12-22,0.8,20.0,5,2
Galatasaray,2026-W01,2025-12-29,0.0,0.0,1,0
Galatasaray,2026-W02,2026-01-05,0.0,0.0,4,0
Galatasaray,2026-W03,2026-01-12,1.2,30.0,5,4
Galatasaray,2026-W04,2026-01-19,0.25,6.2,4,1
Galatasaray,2026-W05,2026-01-26,0.0,0.0,3,0
Galatasaray,2026-W06,2026-02-02,0.0,0.0,4,0
Galatasaray,2026-W07,2026-02-09,0.727,18.2,11,2
Galatasaray,2026-W08,2026-02-16,1.0,25.0,4,1
Galatasaray,2026-W09,2026-02-23,0.0,0.0,4,0
Galatasaray,2026-W10,2026-03-02,2.0,50.0,2,1
Galatasaray,2026-W11,2026-03-09,0.0,0.0,6,0
Galatasaray,2026-W12,2026-03-16,0.0,0.0,11,0
Galatasaray,2026-W14,2026-03-30,0.0,0.0,3,0
Galatasaray,2026-W15,2026-04-06,0.0,0.0,1,0
Galatasaray,2026-W16,2026-04-13,1.0,25.0,27,9
Galatasaray,2026-W17,2026-04-20,0.364,9.1,11,1
Gaziantep,2025-W27,2025-06-30,4.0,100.0,1,1
Gaziantep,2025-W34,2025-08-18,1.6,40.0,5,2
Gaziantep,2025-W41,2025-10-06,0.0,0.0,2,1
Gaziantep,2025-W45,2025-11-03,0.0,0.0,2,0
Gaziantep,2025-W50,2025-12-08,3.2,80.0,5,4
Gaziantep,2025-W51,2025-12-15,2.062,51.6,32,19
Gaziantep,2025-W52,2025-12-22,0.0,0.0,4,0
Gaziantep,2026-W02,2026-01-05,4.0,100.0,1,1
Gaziantep,2026-W03,2026-01-12,0.0,0.0,1,0
Gaziantep,2026-W06,2026-02-02,0.0,0.0,7,0
Gaziantep,2026-W07,2026-02-09,0.0,0.0,2,0
Gaziantep,2026-W08,2026-02-16,0.0,0.0,1,0
Gaziantep,2026-W09,2026-02-23,0.0,0.0,1,0
Gaziantep,2026-W10,2026-03-02,1.3,32.5,10,5
Gaziantep,2026-W11,2026-03-09,0.0,0.0,3,0
Gaziantep,2026-W12,2026-03-16,0.0,0.0,2,0
Gaziantep,2026-W14,2026-03-30,0.0,0.0,1,0
Gaziantep,2026-W16,2026-04-13,2.589,64.7,95,64
Gaziantep,2026-W17,2026-04-20,0.5,12.5,14,4
Genclerbirligi,2025-W35,2025-08-25,1.667,41.7,3,2
Genclerbirligi,2025-W37,2025-09-08,4.0,100.0,1,1
Genclerbirligi,2025-W44,2025-10-27,1.5,37.5,12,5
Genclerbirligi,2025-W45,2025-11-03,0.0,0.0,2,0
Genclerbirligi,2025-W46,2025-11-10,4.0,100.0,1,1
Genclerbirligi,2025-W47,2025-11-17,4.0,100.0,1,1
Genclerbirligi,2025-W48,2025-11-24,0.0,0.0,1,0
Genclerbirligi,2025-W49,2025-12-01,3.644,91.1,59,54
Genclerbirligi,2025-W50,2025-12-08,3.143,78.6,14,13
Genclerbirligi,2025-W51,2025-12-15,0.0,0.0,9,3
Genclerbirligi,2026-W02,2026-01-05,0.0,0.0,2,0
Genclerbirligi,2026-W05,2026-01-26,0.0,0.0,2,0
Genclerbirligi,2026-W06,2026-02-02,0.0,0.0,1,0
Genclerbirligi,2026-W07,2026-02-09,2.3,57.5,10,6
Genclerbirligi,2026-W08,2026-02-16,0.222,5.6,18,2
Genclerbirligi,2026-W09,2026-02-23,0.0,0.0,1,0
Genclerbirligi,2026-W10,2026-03-02,1.6,40.0,25,11
Genclerbirligi,2026-W11,2026-03-09,0.0,0.0,1,0
Genclerbirligi,2026-W12,2026-03-16,0.0,0.0,2,0
Genclerbirligi,2026-W14,2026-03-30,0.0,0.0,4,0
Genclerbirligi,2026-W15,2026-04-06,0.0,0.0,5,0
Genclerbirligi,2026-W16,2026-04-13,1.652,41.3,23,12
Genclerbirligi,2026-W17,2026-04-20,0.0,0.0,1,0
Goztep,2025-W27,2025-06-30,0.0,0.0,3,0
Goztep,2025-W29,2025-07-14,0.0,0.0,1,0
Goztep,2025-W32,2025-08-04,0.0,0.0,1,0
Goztep,2025-W34,2025-08-18,0.0,0.0,1,0
Goztep,2025-W38,2025-09-15,0.0,0.0,3,0
Goztep,2025-W39,2025-09-22,0.0,0.0,3,0
Goztep,2025-W41,2025-10-06,0.0,0.0,2,0
Goztep,2025-W42,2025-10-13,0.0,0.0,4,0
Goztep,2025-W43,2025-10-20,0.0,0.0,3,0
Goztep,2025-W44,2025-10-27,0.0,0.0,2,0
Goztep,2025-W45,2025-11-03,0.667,16.7,3,1
Goztep,2025-W47,2025-11-17,0.0,0.0,1,0
Goztep,2025-W48,2025-11-24,0.0,0.0,1,0
Goztep,2025-W49,2025-12-01,0.0,0.0,1,0
Goztep,2025-W50,2025-12-08,4.0,100.0,2,2
Goztep,2025-W51,2025-12-15,3.0,75.0,8,7
Goztep,2025-W52,2025-12-22,4.0,100.0,1,1
