trainer_id,trainer_slug,manager,nationality,date_of_birth,place_of_birth,citizenship
24586,recep-cetin,Recep Çetin,Türkiye,1965-10-01,Sakarya,Türkiye
57305,ugur-balcioglu,Uğur Balcıoğlu,Türkiye,1972-02-01,Corum,Türkiye
83064,yunus-icuz,Yunus İçuz,Türkiye,1983-03-27,Balikesir,Türkiye
51143,ismet-kamak,Ismet Kamak,Türkiye,1976-03-16,Ankara,Türkiye
81935,umut-baysal,Umut Baysal,Türkiye,1986-06-17,Balikesir,Türkiye
8750,reha-erginer,Reha Erginer,Türkiye,1970-04-01,Manisa,Türkiye
19581,fikret-yilmaz,Fikret Yılmaz,Türkiye,1957-08-01,Adana,Türkiye
13269,selahaddin-dincel,Selahaddin Dinçel,Türkiye,1975-09-01,Manisa,Türkiye
13270,ergun-ortakci,Ergun Ortakcı,Türkiye,1959-01-01,Balikesir,Türkiye
113226,ahmet-kilic,Ahmet Kılıç,Türkiye,1956-05-19,Samsun,Türkiye
81719,okan-atay,Okan Atay,Türkiye,1966-09-20,Balikesir,Türkiye
31494,tuncay-soyak,Tuncay Soyak,Türkiye,,,
26723,fevzi-sevinc,Fevzi Sevinç,Türkiye,1952-01-01,Skopje,Türkiye North Macedonia
124227,kamil-doygun,Kamil Doygun,Türkiye,1953-05-01,Istanbul,Türkiye
87309,aydin-hepanil,Aydın Hepanıl,Türkiye,1948-07-19,Ankara,Türkiye
124326,mahmut-evren,Mahmut Evren,Türkiye,1941-09-18,Bilecik,Türkiye
35026,ergun-kantarci,Ergun Kantarcı,Türkiye,1946-11-01,Trabzon,Türkiye
64789,sebahattin-akgul,Sebahattin Akgül,Türkiye,1950-10-15,Tekirdag,Türkiye
154494,ertan-oznur,Ertan Öznur,Türkiye,1944-09-02,Afyonkarahisar,Türkiye
1108,huseyin-hamamci,Hüseyin Hamamcı,Türkiye,1951-01-01,Manisa,Türkiye
35468,hasan-yuksel,Hasan Yüksel,Türkiye,1957-10-13,Izmir,Türkiye
64080,erkan-velioglu,Erkan Velioğlu,Türkiye,1941-02-28,Rize,Türkiye
60116,necdet-zorluer,Necdet Zorluer,Türkiye,1945-03-16,Istanbul,Türkiye
